NCT03354286	"Not Applicable	"
NCT03353298	"Phase 2	"
NCT03352947	"Phase 2	"
NCT03350737	"Not Applicable	"
NCT03348761	"Not Applicable	"
NCT03346668	"Early Phase 1	"
NCT03342976	"Not Applicable	"
NCT03341975	"Not Applicable	"
NCT03341520	"Phase 2	"
NCT03340922	"Phase 4	"
NCT03337607	"Not Applicable	"
NCT03337360	"Not Applicable	"
NCT03336879	"Not Applicable	"
NCT03335475	"Not Applicable	"
NCT03335358	"Not Applicable	"
NCT03335319	"Not Applicable	"
NCT03335124	"Phase 4	"
NCT03334643	"Not Applicable	"
NCT03333460	"Not Applicable	"
NCT03333174	"Not Applicable	"
NCT03333161	"Not Applicable	"
NCT03326232	"Not Applicable	"
NCT03324451	"Not Applicable	"
NCT03323359	"Not Applicable	"
NCT03322774	"Not Applicable	"
NCT03322072	"Not Applicable	"
NCT03320057	"Phase 4	"
NCT03318874	"Phase 4	"
NCT03314792	"Phase 4	"
NCT03313492	"Not Applicable	"
NCT03308851	"Not Applicable	"
NCT03306992	"Phase 3	"
NCT03304626	"Phase 2	"
NCT03304301	"Not Applicable	"
NCT03302858	"Phase 2	"
NCT03302299	"Phase 4	"
NCT03301311	"Not Applicable	"
NCT03299816	"Not Applicable	"
NCT03299296	"Phase 3	"
NCT03297658	"Not Applicable	"
NCT03297346	"Not Applicable	"
NCT03295708	"Not Applicable	"
NCT03295422	"Not Applicable	"
NCT03294395	"Phase 3	"
NCT03291951	"Not Applicable	"
NCT03290833	"Not Applicable	"
NCT03290560	"Phase 2	"
NCT03289858	"Phase 4	"
NCT03286374	"Not Applicable	"
NCT03283943	"Phase 1	"
NCT03275571	"Not Applicable	"
NCT03269071	"Phase 1	"
NCT03268213	"Early Phase 1	"
NCT03267420	"Not Applicable	"
NCT03267238	"Early Phase 1	"
NCT03263780	"Early Phase 1	"
NCT03263156	"Not Applicable	"
NCT03256396	"Not Applicable	"
NCT03254589	"Phase 4	"
NCT03251495	"Phase 2	"
NCT03248518	"Not Applicable	"
NCT03243539	"Not Applicable	"
NCT03241511	"Not Applicable	"
NCT03237468	"Not Applicable	"
NCT03229538	"Phase 3	"
NCT03229486	"Phase 4	"
NCT03227809	"Not Applicable	"
NCT03227770	"Not Applicable	"
NCT03212859	"Not Applicable	"
NCT03205956	"Phase 1	"
NCT03196193	"Not Applicable	"
NCT03193333	"Phase 3	"
NCT03191071	"Not Applicable	"
NCT03168724	"Not Applicable	"
NCT03167723	"Not Applicable	"
NCT03167307	"Phase 3	"
NCT03128021	"Phase 4	"
NCT03116139	"Not Applicable	"
NCT03110744	"Phase 2	"
NCT03100526	"Not Applicable	"
NCT03044613	"Phase 1	"
NCT03036345	"Not Applicable	"
NCT03026816	"Not Applicable	"
NCT03007511	"Not Applicable	"
NCT02996565	"Not Applicable	"
NCT02995733	"Phase 4	"
NCT02993432	"Not Applicable	"
NCT02990429	"Not Applicable	"
NCT02978950	"Not Applicable	"
NCT02959697	"Not Applicable	"
NCT02957669	"Not Applicable	"
NCT02957253	"Not Applicable	"
NCT02940028	"Not Applicable	"
NCT02874443	"Not Applicable	"
NCT02871349	"Early Phase 1	"
NCT02852213	"Phase 1	"
NCT02845336	"Phase 2	"
NCT02811627	"Early Phase 1	"
NCT02808507	"Not Applicable	"
NCT02690259	"Not Applicable	"
NCT02651402	"Not Applicable	"
NCT02624765	"Phase 3	"
NCT02613650	"Phase 1	"
NCT02606045	"Phase 3	"
NCT02599480	"Phase 2	"
NCT02587936	"Not Applicable	"
NCT02458846	"Not Applicable	"
NCT02428205	"Not Applicable	"
NCT02340650	"Not Applicable	"
NCT02278198	"Phase 1	"
NCT02259621	"Phase 2	"
NCT02046694	"Early Phase 1	"
NCT01964859	"Phase 2	"
NCT01247090	"Phase 2	"
NCT01042015	"Phase 2	"
NCT00870064	"Not Applicable	"
NCT03799094	"Phase 1	Phase 2	"
NCT03607630	"Phase 1	Phase 2	"
NCT03423342	"Phase 1	Phase 2	"
NCT03360929	"Phase 1	Phase 2	"
NCT03292731	"Phase 2	Phase 3	"
NCT03275870	"Phase 1	Phase 2	"
NCT03104426	"Phase 2	Phase 3	"
NCT03753802	"Not Applicable	"
NCT03630549	"Phase 4	"
NCT03241732	"Not Applicable	"
NCT03032601	"Not Applicable	"
NCT03466528	"Phase 2	Phase 3	"
NCT03463252	"Phase 2	Phase 3	"
NCT03829956	"Not Applicable	"
NCT03827616	"Phase 2	"
NCT03808207	"Not Applicable	"
NCT03795740	"Not Applicable	"
NCT03787615	"Not Applicable	"
NCT03781596	"Phase 4	"
NCT03771534	"Not Applicable	"
NCT03770455	"Phase 2	"
NCT03766503	"Not Applicable	"
NCT03762239	"Not Applicable	"
NCT03761264	"Phase 2	"
NCT03757572	"Not Applicable	"
NCT03754322	"Not Applicable	"
NCT03744780	"Not Applicable	"
NCT03737370	"Phase 1	"
NCT03735537	"Phase 4	"
NCT03714282	"Not Applicable	"
NCT03704116	"Not Applicable	"
NCT03702465	"Not Applicable	"
NCT03701113	"Not Applicable	"
NCT03699397	"Not Applicable	"
NCT03698591	"Not Applicable	"
NCT03694496	"Not Applicable	"
NCT03692715	"Phase 4	"
NCT03685461	"Not Applicable	"
NCT03680248	"Not Applicable	"
NCT03678506	"Phase 4	"
NCT03675165	"Not Applicable	"
NCT03661385	"Phase 3	"
NCT03654131	"Phase 2	"
NCT03644381	"Not Applicable	"
NCT03637413	"Not Applicable	"
NCT03636724	"Not Applicable	"
NCT03633682	"Not Applicable	"
NCT03632447	"Not Applicable	"
NCT03631979	"Not Applicable	"
NCT03631030	"Not Applicable	"
NCT03629145	"Not Applicable	"
NCT03625011	"Phase 4	"
NCT03607461	"Not Applicable	"
NCT03603015	"Not Applicable	"
NCT03594474	"Not Applicable	"
NCT03589378	"Not Applicable	"
NCT03586219	"Not Applicable	"
NCT03570424	"Not Applicable	"
NCT03563690	"Not Applicable	"
NCT03560063	"Not Applicable	"
NCT03553862	"Not Applicable	"
NCT03550495	"Not Applicable	"
NCT03538860	"Not Applicable	"
NCT03536858	"Not Applicable	"
NCT03526458	"Not Applicable	"
NCT03516396	"Not Applicable	"
NCT03502005	"Phase 4	"
NCT03494231	"Phase 1	"
NCT03493126	"Phase 4	"
NCT03489850	"Phase 2	"
NCT03488602	"Not Applicable	"
NCT03483740	"Not Applicable	"
NCT03478501	"Not Applicable	"
NCT03474978	"Not Applicable	"
NCT03474666	"Not Applicable	"
NCT03474432	"Not Applicable	"
NCT03471637	"Not Applicable	"
NCT03467724	"Not Applicable	"
NCT03464851	"Not Applicable	"
NCT03462979	"Not Applicable	"
NCT03462459	"Phase 2	"
NCT03461016	"Not Applicable	"
NCT03461003	"Phase 4	"
NCT03455985	"Not Applicable	"
NCT03453398	"Not Applicable	"
NCT03453359	"Not Applicable	"
NCT03442114	"Not Applicable	"
NCT03440645	"Not Applicable	"
NCT03431467	"Not Applicable	"
NCT03429439	"Not Applicable	"
NCT03422848	"Not Applicable	"
NCT03418649	"Phase 4	"
NCT03413332	"Not Applicable	"
NCT03406767	"Not Applicable	"
NCT03405493	"Not Applicable	"
NCT03395301	"Not Applicable	"
NCT03387618	"Not Applicable	"
NCT03382106	"Phase 4	"
NCT03380169	"Not Applicable	"
